terms     sum_up           sum_down         rel_diff      
 121875   1.22885008e+01   1.22879820e+01   4.22191260e-05
 125000   1.23137598e+01   1.23133020e+01   3.71756614e-05
 128125   1.23376017e+01   1.23379908e+01   3.15371653e-05
 131250   1.23614435e+01   1.23620882e+01   5.21514339e-05
 134375   1.23852854e+01   1.23856211e+01   2.71038407e-05
 137500   1.24091272e+01   1.24086123e+01   4.15012910e-05
 140625   1.24321918e+01   1.24310865e+01   8.89109215e-05
 143750   1.24530535e+01   1.24530687e+01   1.22530423e-06
 146875   1.24739151e+01   1.24745693e+01   5.24457173e-05
 150000   1.24947767e+01   1.24956255e+01   6.79276927e-05
 153125   1.25156384e+01   1.25162449e+01   4.84611446e-05
 156250   1.25365000e+01   1.25364437e+01   4.48824721e-06
 159375   1.25573616e+01   1.25562515e+01   8.84043984e-05
 162500   1.25770969e+01   1.25756645e+01   1.13897542e-04
 165625   1.25949783e+01   1.25947132e+01   2.10499966e-05
 168750   1.26128597e+01   1.26134052e+01   4.32487104e-05
 171875   1.26307411e+01   1.26317558e+01   8.03332659e-05
 175000   1.26486225e+01   1.26497717e+01   9.08498405e-05
 178125   1.26665039e+01   1.26674671e+01   7.60410621e-05
 181250   1.26843853e+01   1.26848631e+01   3.76669268e-05
 184375   1.27022667e+01   1.27019577e+01   2.43259128e-05
 187500   1.27201481e+01   1.27187719e+01   1.08192646e-04
 190625   1.27380295e+01   1.27352972e+01   2.14520624e-04
 193750   1.27529545e+01   1.27515535e+01   1.09858818e-04
 196875   1.27678556e+01   1.27675591e+01   2.32299117e-05
 200000   1.27827568e+01   1.27833014e+01   4.25992948e-05
 203125   1.27976580e+01   1.27988052e+01   8.96428683e-05
 206250   1.28125591e+01   1.28140764e+01   1.18415534e-04
 209375   1.28274603e+01   1.28291054e+01   1.28239160e-04
 212500   1.28423615e+01   1.28439236e+01   1.21630554e-04
 215625   1.28572626e+01   1.28585215e+01   9.79048564e-05
 218750   1.28721638e+01   1.28729172e+01   5.85278976e-05
 221875   1.28870649e+01   1.28870974e+01   2.51608003e-06
 225000   1.29019661e+01   1.29010868e+01   6.81537713e-05
 228125   1.29168673e+01   1.29148722e+01   1.54467853e-04
 231250   1.29317684e+01   1.29284906e+01   2.53499282e-04
 234375   1.29453735e+01   1.29419041e+01   2.68044183e-04
 237500   1.29572945e+01   1.29551620e+01   1.64586148e-04
 240625   1.29692154e+01   1.29682150e+01   7.71398190e-05
 243750   1.29811363e+01   1.29811392e+01   2.20398476e-07
 246875   1.29930573e+01   1.29938736e+01   6.28273701e-05
 250000   1.30049782e+01   1.30064411e+01   1.12484166e-04
 253125   1.30168991e+01   1.30188665e+01   1.51132874e-04
 256250   1.30288200e+01   1.30311279e+01   1.77121750e-04
 259375   1.30407410e+01   1.30432625e+01   1.93338026e-04
 262500   1.30526619e+01   1.30552311e+01   1.96813940e-04
 265625   1.30645828e+01   1.30670624e+01   1.89773986e-04
 268750   1.30765038e+01   1.30787592e+01   1.72465458e-04
 271875   1.30884247e+01   1.30903215e+01   1.44915888e-04
 275000   1.31003456e+01   1.31017580e+01   1.07807500e-04
 278125   1.31122665e+01   1.31130638e+01   6.08016526e-05
